Year,Population,Index,Violent,Property,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
1965.00,18073000.00,554050.00,58802.00,495248.00,836.00,2320.00,28182.00,27464.00,183443.00,253353.00,58452.00
1966.00,18258000.00,609465.00,62561.00,546904.00,882.00,2439.00,30098.00,29142.00,196127.00,286409.00,64368.00
1967.00,18336000.00,692528.00,75124.00,617404.00,996.00,2665.00,40202.00,31261.00,219157.00,314472.00,83775.00
1968.00,18113000.00,829453.00,98515.00,730938.00,1185.00,2527.00,59857.00,34946.00,250918.00,375143.00,104877.00
1969.00,18321000.00,837210.00,105870.00,731340.00,1324.00,2902.00,64754.00,36890.00,248477.00,367463.00,115400.00
1970.00,18190740.00,904314.00,124613.00,779701.00,1444.00,2875.00,81149.00,39145.00,267474.00,386553.00,125674.00
1971.00,18391000.00,935022.00,145048.00,789974.00,1823.00,3225.00,97682.00,42318.00,273704.00,388612.00,127658.00
1972.00,18366000.00,804605.00,138542.00,666063.00,2026.00,4199.00,86391.00,45926.00,239886.00,321096.00,105081.00
1973.00,18265000.00,814349.00,135468.00,678881.00,2040.00,4852.00,80795.00,47781.00,246246.00,320307.00,112328.00
1974.00,18111000.00,911703.00,145427.00,766276.00,1919.00,5240.00,86814.00,51454.00,271824.00,390357.00,104095.00
1975.00,18120000.00,1021197.00,155187.00,866010.00,1996.00,5099.00,93499.00,54593.00,301996.00,447740.00,116274.00
1976.00,18084000.00,1125739.00,156988.00,968751.00,1969.00,4663.00,95718.00,54638.00,318919.00,516328.00,133504.00
1977.00,17924000.00,1091144.00,149087.00,942057.00,1919.00,5272.00,84703.00,57193.00,309735.00,498653.00,133669.00
1978.00,17748000.00,1027993.00,149257.00,878736.00,1820.00,5168.00,83785.00,58484.00,292956.00,466516.00,119264.00
1979.00,17649000.00,1095140.00,161906.00,933234.00,2092.00,5394.00,93471.00,60949.00,308302.00,500589.00,124343.00
1980.00,17506690.00,1209984.00,180235.00,1029749.00,2228.00,5405.00,112273.00,60329.00,360925.00,535783.00,133041.00
1981.00,17594000.00,1214935.00,188178.00,1026757.00,2166.00,5479.00,120344.00,60189.00,350422.00,539486.00,136849.00
1982.00,17659000.00,1142202.00,174833.00,967369.00,2013.00,5159.00,107843.00,59818.00,295245.00,534244.00,137880.00
1983.00,17667000.00,1042811.00,161489.00,881322.00,1958.00,5296.00,94783.00,59452.00,249115.00,504346.00,127861.00
1984.00,17735000.00,989126.00,162157.00,826969.00,1786.00,5599.00,89900.00,64872.00,222956.00,488621.00,115392.00
1985.00,17783000.00,993811.00,165365.00,828446.00,1683.00,5706.00,89706.00,68270.00,219633.00,502276.00,106537.00
1986.00,17772000.00,1025037.00,175210.00,849827.00,1907.00,5415.00,91360.00,76528.00,217010.00,519570.00,113247.00
1987.00,17825000.00,1061021.00,179691.00,881330.00,2016.00,5537.00,89721.00,82417.00,216826.00,539175.00,125329.00
1988.00,17898000.00,1129241.00,196396.00,932845.00,2244.00,5479.00,97434.00,91239.00,218060.00,560887.00,153898.00
1989.00,17950000.00,1129638.00,203042.00,926596.00,2246.00,5242.00,103983.00,91571.00,211130.00,544459.00,171007.00
1990.00,17990455.00,1144874.00,212458.00,932416.00,2605.00,5368.00,112380.00,92105.00,208813.00,536012.00,187591.00
1991.00,18058000.00,1127651.00,210184.00,917467.00,2571.00,5085.00,112342.00,90186.00,204499.00,531681.00,181287.00
1992.00,18119000.00,1061489.00,203311.00,858178.00,2397.00,5152.00,108154.00,87608.00,193548.00,495708.00,168922.00
1993.00,18197000.00,1010176.00,195352.00,814824.00,2420.00,5008.00,102122.00,85802.00,181709.00,481166.00,151949.00
1994.00,18169000.00,921278.00,175433.00,745845.00,2016.00,4700.00,86617.00,82100.00,164650.00,452322.00,128873.00
1995.00,18136000.00,827025.00,152683.00,674342.00,1550.00,4290.00,72492.00,74351.00,146562.00,425184.00,102596.00
1996.00,18185000.00,751456.00,132206.00,619250.00,1353.00,4174.00,61822.00,64857.00,129828.00,399522.00,89900.00
1997.00,18137000.00,709328.00,124890.00,584438.00,1093.00,4075.00,56094.00,63628.00,118306.00,386435.00,79697.00
1998.00,18175000.00,652202.00,115915.00,536287.00,924.00,3843.00,49125.00,62023.00,104821.00,363295.00,68171.00
1999.00,18196601.00,596743.00,107147.00,489596.00,903.00,3563.00,43821.00,58860.00,93217.00,338118.00,58261.00
2000.00,18976457.00,588189.00,124890.00,483078.00,952.00,3530.00,40539.00,60090.00,87946.00,340901.00,54231.00
2001.00,19084350.00,556025.00,98022.00,458003.00,960.00,3546.00,36555.00,56961.00,80400.00,329316.00,48287.00
2002.00,19134293.00,537121.00,95030.00,442091.00,909.00,3885.00,36653.00,53583.00,76700.00,318025.00,47366.00
2003.00,19212425.00,521565.00,89486.00,432079.00,934.00,3775.00,35790.00,48987.00,75453.00,311422.00,45204.00
2004.00,19280727.00,507648.00,84914.00,422734.00,889.00,3608.00,33506.00,46911.00,70696.00,311036.00,41002.00
2005.00,19315721.00,491829.00,85839.00,405990.00,874.00,3636.00,35179.00,46150.00,68034.00,302220.00,35736.00
2006.00,19306183.00,482270.00,83966.00,396304.00,921.00,3169.00,34489.00,45387.00,68565.00,295605.00,32134.00
2007.00,19297729.00,461731.00,79915.00,381816.00,801.00,2926.00,31094.00,45094.00,64857.00,288929.00,28030.00
2008.00,19467789.00,466131.00,77546.00,388585.00,836.00,2799.00,31789.00,42122.00,65537.00,297952.00,25096.00
2009.00,19541453.00,452647.00,75110.00,377537.00,781.00,2582.00,28141.00,43606.00,62769.00,292897.00,21871.00
2010.00,19395206.00,456202.00,76492.00,379710.00,868.00,2797.00,28630.00,44197.00,65839.00,293232.00,20639.00
2011.00,19501616.00,449300.00,77463.00,371837.00,769.00,2751.00,28405.00,45538.00,65227.00,287361.00,19249.00
2012.00,19576125.00,454803.00,79535.00,375268.00,683.00,2837.00,28633.00,47382.00,64389.00,293562.00,17317.00
2013.00,19695680.00,436166.00,77563.00,358603.00,644.00,2575.00,27241.00,46130.00,56444.00,286676.00,15483.00
2014.00,19748858.00,415085.00,75972.00,339113.00,616.00,4316.00,24036.00,45295.00,50738.00,272624.00,15751.00
2015.00,19747183.00,392351.00,75126.00,317225.00,613.00,4414.00,23879.00,44493.00,44117.00,257837.00,15271.00
2016.00,19745289.00,379466.00,74285.00,305181.00,630.00,4569.00,22316.00,45079.00,39821.00,250968.00,14392.00
2017.00,19590719.00,364136.00,70746.00,293390.00,550.00,6297.00,20122.00,43777.00,34928.00,245093.00,13369.00
2018.00,19530351.00,350055.00,68512.00,281543.00,562.00,6577.00,18191.00,43182.00,31158.00,237243.00,13142.00
2019.00,19453561.00,336919.00,69764.00,267155.00,558.00,6583.00,18068.00,44555.00,27600.00,226851.00,12704.00
